id,name,barcode,department,subcategory,price,on_sale,sale_price,sale_text,unit,is_new,image_file
"1027444","גמדים לדרך גבינה לבנה עם מחית תות 5% שטראוס 100 גרם","7290112339867","מוצרי חלב וביצים","מעדני חלב","7.90","לא","0.00","","u","לא","גמדים לדרך גבינה לבנה עם מחית תות 5% שטראוס 100 גרם.jpg"
"1050789","משקה שקדים בריסטה אלפרו 1 ליטר","5411188129899","אורגני ובריאות","טופו משקאות סויה ומעדנים","19.90","לא","0.00","","u","לא","משקה שקדים בריסטה אלפרו 1 ליטר.jpg"
"1050849","משקה סויה ללא סוכר אלפרו 1 ליטר","5411188543398","אורגני ובריאות","טופו משקאות סויה ומעדנים","18.90","לא","0.00","","u","לא","משקה סויה ללא סוכר אלפרו 1 ליטר.jpg"
"1050889","משקה שיבולת שועל ללא סוכר אלפרו 1 ליטר","5411188124689","אורגני ובריאות","טופו משקאות סויה ומעדנים","18.90","לא","0.00","","u","לא","משקה שיבולת שועל ללא סוכר אלפרו 1 ליטר.jpg"
"1051069","שעועית לבנה שטראוס 380 גרם","7290112348142","פירות וירקות","ירקות ארוזים","9.90","לא","0.00","","u","לא","שעועית לבנה שטראוס 380 גרם.jpg"
"1051089","אפונה ירוקה שטראוס 380 גרם","7290112357083","פירות וירקות","ירקות ארוזים","9.90","לא","0.00","","u","לא","אפונה ירוקה שטראוס 380 גרם.jpg"
"1051129","שעועית אדומה שטראוס 380 גרם","7290112357106","פירות וירקות","ירקות ארוזים","9.90","לא","0.00","","u","לא","שעועית אדומה שטראוס 380 גרם.jpg"
"1051569","חציל בטעם כבד צבר 220 גרם","7290115200287","נקניקים וסלטים","סלטי צבר","14.90","לא","0.00","","u","לא","חציל בטעם כבד צבר 220 גרם.jpg"
"1052030","קפסולות קפה 15 העוצמתי ביותר עלית 10 יח'","7290112350312","משקאות","קפה טחון למכונות","21.90","לא","0.00","","u","לא","קפסולות קפה 15 העוצמתי ביותר עלית 10 יח'.jpg"
"1052675","משקה אנרגיה אולטרה מונסטר 500 מ""ל","5060639128051","משקאות","משקאות חריפים","13.00","לא","0.00","","u","לא","משקה אנרגיה אולטרה מונסטר 500 מל.jpg"
"1053960","מרכך כביסה מרוכז קול פרש קונטרול כחול סוד 900 מ""ל","7290017457932","חומרי ניקוי ובית","מרכך כביסה","16.90","לא","0.00","","u","לא","מרכך כביסה מרוכז קול פרש קונטרול כחול סוד 900 מל.jpg"
"1053975","מרכך כביסה מרוכז פלורל קריספ פרש קונטרול ורוד סוד 900 מ""ל","7290017457925","חומרי ניקוי ובית","מרכך כביסה","16.90","לא","0.00","","u","לא","מרכך כביסה מרוכז פלורל קריספ פרש קונטרול ורוד סוד 900 מל.jpg"
"1054707","עוגיות גולדן אוראו 154 גרם","7622210464729","לחם מאפים ועוגיות","עוגיות סנדוויץ","11.90","לא","0.00","","u","לא","עוגיות גולדן אוראו 154 גרם.jpg"
"1054818","שישיית בירה מכבי 7.9% בקבוק 330 מ""ל","7290008464697","משקאות","בירה","44.90","לא","0.00","","u","לא","שישיית בירה מכבי 7.9% בקבוק 330 מל.jpg"
"1055897","פיטנס חטיף קראנצ'י עם מלח ופלפל נסטלה 25 גרם","7290112965660","חטיפים ודגנים","חטיפי ציפס ותירס","6.90","לא","0.00","","u","לא","פיטנס חטיף קראנצ'י עם מלח ופלפל נסטלה 25 גרם.jpg"
